Row, Site, Dept, Chassis, Slot, PortGroup, PortIdx, Connection, Name, Status, Firmware, OwnershipState, OwnerHostname, OwnerUserId, OwnerTimestamp, Notes, Last Scan
38, CHN, TBD, 10.61.37.10, 3, 3, 6,TBD, PhysicalPortGroup 2231, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
39, CHN, TBD, 10.61.37.10, 3, 4, 7,TBD, PhysicalPortGroup 2232, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
40, CHN, TBD, 10.61.37.10, 3, 4, 8,TBD, PhysicalPortGroup 2232, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
41, CHN, TBD, 10.61.37.10, 3, 5, 9,TBD, PhysicalPortGroup 2233, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
42, CHN, TBD, 10.61.37.10, 3, 5, 10,TBD, PhysicalPortGroup 2233, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
43, CHN, TBD, 10.61.37.10, 3, 6, 11,TBD, PhysicalPortGroup 2234, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
44, CHN, TBD, 10.61.37.10, 3, 6, 12,TBD, PhysicalPortGroup 2234, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
45, CHN, TBD, 10.61.37.10, 4, 1, 1,TBD, PhysicalPortGroup 2209, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
46, CHN, TBD, 10.61.37.10, 4, 1, 2,TBD, PhysicalPortGroup 2209, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
47, CHN, TBD, 10.61.37.10, 4, 2, 3,TBD, PhysicalPortGroup 2210, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
48, CHN, TBD, 10.61.37.10, 4, 2, 4,TBD, PhysicalPortGroup 2210, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
49, CHN, TBD, 10.61.37.10, 4, 3, 5,TBD, PhysicalPortGroup 2211, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
50, CHN, TBD, 10.61.37.10, 4, 3, 6,TBD, PhysicalPortGroup 2211, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
51, CHN, TBD, 10.61.37.10, 4, 4, 7,TBD, PhysicalPortGroup 2212, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
52, CHN, TBD, 10.61.37.10, 4, 4, 8,TBD, PhysicalPortGroup 2212, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
53, CHN, TBD, 10.61.37.10, 4, 5, 9,TBD, PhysicalPortGroup 2213, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
54, CHN, TBD, 10.61.37.10, 4, 5, 10,TBD, PhysicalPortGroup 2213, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
55, CHN, TBD, 10.61.37.10, 4, 6, 11,TBD, PhysicalPortGroup 2214, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
56, CHN, TBD, 10.61.37.10, 4, 6, 12,TBD, PhysicalPortGroup 2214, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
57, CHN, TBD, 10.61.37.10, 5, 1, 1,TBD, PhysicalPortGroup 2215, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
58, CHN, TBD, 10.61.37.10, 5, 1, 2,TBD, PhysicalPortGroup 2215, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
59, CHN, TBD, 10.61.37.10, 5, 2, 3,TBD, PhysicalPortGroup 2216, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
60, CHN, TBD, 10.61.37.10, 5, 2, 4,TBD, PhysicalPortGroup 2216, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
61, CHN, TBD, 10.61.37.10, 5, 3, 5,TBD, PhysicalPortGroup 2217, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
62, CHN, TBD, 10.61.37.10, 5, 3, 6,TBD, PhysicalPortGroup 2217, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
63, CHN, TBD, 10.61.37.10, 5, 4, 7,TBD, PhysicalPortGroup 2218, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
64, CHN, TBD, 10.61.37.10, 5, 4, 8,TBD, PhysicalPortGroup 2218, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
65, CHN, TBD, 10.61.37.10, 5, 5, 9,TBD, PhysicalPortGroup 2219, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
66, CHN, TBD, 10.61.37.10, 5, 5, 10,TBD, PhysicalPortGroup 2219, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
